,origin_zip,dest_zip,travels
0,28001,28001,1661
1,28001,28002,402
2,28001,28003,679
3,28001,28004,1853
4,28001,28005,1157
5,28001,28006,1209
6,28001,28007,1991
7,28001,28008,363
8,28001,28009,2299
9,28001,28010,815
10,28001,28012,1085
11,28001,28013,272
12,28001,28014,1042
13,28001,28015,1060
14,28001,28016,158
15,28001,28017,60
16,28001,28020,363
17,28001,28027,57
18,28001,28028,523
19,28001,28036,106
20,28001,28039,213
21,28001,28045,867
22,28001,28046,537
23,28001,28053,249
24,28002,28001,356
25,28002,28002,395
26,28002,28003,432
27,28002,28004,606
28,28002,28005,230
29,28002,28006,523
30,28002,28007,305
31,28002,28008,155
32,28002,28009,514
33,28002,28010,406
34,28002,28012,414
35,28002,28013,79
36,28002,28014,323
37,28002,28015,392
38,28002,28016,112
39,28002,28017,50
40,28002,28020,533
41,28002,28027,72
42,28002,28028,262
43,28002,28036,276
44,28002,28039,141
45,28002,28045,196
46,28002,28046,420
47,28002,28053,28
48,28003,28001,800
49,28003,28002,475
50,28003,28003,1880
51,28003,28004,2537
52,28003,28005,809
53,28003,28006,742
54,28003,28007,403
55,28003,28008,907
56,28003,28009,746
57,28003,28010,1370
58,28003,28012,712
59,28003,28013,424
60,28003,28014,494
61,28003,28015,2357
62,28003,28016,162
63,28003,28017,43
64,28003,28020,1236
65,28003,28027,33
66,28003,28028,254
67,28003,28036,244
68,28003,28039,443
69,28003,28045,432
70,28003,28046,863
71,28003,28053,12
72,28004,28001,1813
73,28004,28002,611
74,28004,28003,2610
75,28004,28004,3463
76,28004,28005,2349
77,28004,28006,1532
78,28004,28007,1552
79,28004,28008,1766
80,28004,28009,2116
81,28004,28010,1515
82,28004,28012,2941
83,28004,28013,692
84,28004,28014,1407
85,28004,28015,3014
86,28004,28016,126
87,28004,28017,49
88,28004,28020,761
89,28004,28027,64
90,28004,28028,615
91,28004,28036,156
92,28004,28039,599
93,28004,28045,1524
94,28004,28046,589
95,28004,28053,131
96,28005,28001,1329
97,28005,28002,209
98,28005,28003,793
99,28005,28004,2302
100,28005,28005,5749
101,28005,28006,756
102,28005,28007,1351
103,28005,28008,1757
104,28005,28009,1170
105,28005,28010,466
106,28005,28012,4383
107,28005,28013,2384
108,28005,28014,1900
109,28005,28015,1901
110,28005,28016,48
111,28005,28017,80
112,28005,28020,332
113,28005,28027,26
114,28005,28028,239
115,28005,28036,92
116,28005,28039,112
117,28005,28045,3392
118,28005,28046,775
119,28005,28053,148
120,28006,28001,1118
121,28006,28002,556
122,28006,28003,804
123,28006,28004,1483
124,28006,28005,714
125,28006,28006,1508
126,28006,28007,1431
127,28006,28008,349
128,28006,28009,1904
129,28006,28010,939
130,28006,28012,906
131,28006,28013,123
132,28006,28014,792
133,28006,28015,793
134,28006,28016,155
135,28006,28017,45
136,28006,28020,336
137,28006,28027,128
138,28006,28028,547
139,28006,28036,166
140,28006,28039,187
141,28006,28045,599
142,28006,28046,447
143,28006,28053,61
144,28007,28001,1954
145,28007,28002,317
146,28007,28003,370
147,28007,28004,1577
148,28007,28005,1338
149,28007,28006,1572
150,28007,28007,2935
151,28007,28008,300
152,28007,28009,3855
153,28007,28010,469
154,28007,28012,1939
155,28007,28013,285
156,28007,28014,1607
157,28007,28015,530
158,28007,28016,86
159,28007,28017,64
160,28007,28020,212
161,28007,28027,68
162,28007,28028,682
163,28007,28036,79
164,28007,28039,84
165,28007,28045,1682
166,28007,28046,721
167,28007,28053,215
168,28008,28001,409
169,28008,28002,129
170,28008,28003,999
171,28008,28004,1566
172,28008,28005,1878
173,28008,28006,368
174,28008,28007,345
175,28008,28008,1532
176,28008,28009,471
177,28008,28010,429
178,28008,28012,962
179,28008,28013,639
180,28008,28014,507
181,28008,28015,911
182,28008,28016,22
183,28008,28017,17
184,28008,28020,304
185,28008,28027,22
186,28008,28028,126
187,28008,28036,40
188,28008,28039,173
189,28008,28045,541
190,28008,28046,155
191,28008,28053,40
192,28009,28001,2318
193,28009,28002,453
194,28009,28003,668
195,28009,28004,2262
196,28009,28005,1226
197,28009,28006,1836
198,28009,28007,3762
199,28009,28008,499
200,28009,28009,3446
201,28009,28010,721
202,28009,28012,2133
203,28009,28013,407
204,28009,28014,2609
205,28009,28015,894
206,28009,28016,284
207,28009,28017,108
208,28009,28020,317
209,28009,28027,109
210,28009,28028,917
211,28009,28036,79
212,28009,28039,167
213,28009,28045,1577
214,28009,28046,555
215,28009,28053,164
216,28010,28001,813
217,28010,28002,324
218,28010,28003,1522
219,28010,28004,1261
220,28010,28005,484
221,28010,28006,906
222,28010,28007,373
223,28010,28008,503
224,28010,28009,694
225,28010,28010,660
226,28010,28012,545
227,28010,28013,182
228,28010,28014,435
229,28010,28015,1076
230,28010,28016,54
231,28010,28017,22
232,28010,28020,577
233,28010,28027,51
234,28010,28028,260
235,28010,28036,106
236,28010,28039,228
237,28010,28045,330
238,28010,28046,357
239,28010,28053,33
240,28012,28001,1164
241,28012,28002,344
242,28012,28003,666
243,28012,28004,2912
244,28012,28005,4652
245,28012,28006,774
246,28012,28007,2024
247,28012,28008,853
248,28012,28009,1932
249,28012,28010,456
250,28012,28012,4267
251,28012,28013,1296
252,28012,28014,1528
253,28012,28015,1348
254,28012,28016,64
255,28012,28017,47
256,28012,28020,322
257,28012,28027,42
258,28012,28028,406
259,28012,28036,103
260,28012,28039,185
261,28012,28045,3519
262,28012,28046,575
263,28012,28053,253
264,28013,28001,247
265,28013,28002,86
266,28013,28003,435
267,28013,28004,871
268,28013,28005,2274
269,28013,28006,153
270,28013,28007,336
271,28013,28008,609
272,28013,28009,380
273,28013,28010,250
274,28013,28012,1210
275,28013,28013,740
276,28013,28014,382
277,28013,28015,737
278,28013,28016,15
279,28013,28017,10
280,28013,28020,149
281,28013,28027,25
282,28013,28028,76
283,28013,28036,25
284,28013,28039,162
285,28013,28045,694
286,28013,28046,57
287,28013,28053,41
288,28014,28001,1049
289,28014,28002,271
290,28014,28003,473
291,28014,28004,1444
292,28014,28005,1896
293,28014,28006,693
294,28014,28007,1876
295,28014,28008,470
296,28014,28009,2444
297,28014,28010,449
298,28014,28012,1434
299,28014,28013,352
300,28014,28014,1318
301,28014,28015,668
302,28014,28016,62
303,28014,28017,43
304,28014,28020,137
305,28014,28027,105
306,28014,28028,480
307,28014,28036,88
308,28014,28039,116
309,28014,28045,1216
310,28014,28046,383
311,28014,28053,157
312,28015,28001,959
313,28015,28002,378
314,28015,28003,2281
315,28015,28004,3082
316,28015,28005,1968
317,28015,28006,719
318,28015,28007,652
319,28015,28008,1058
320,28015,28009,858
321,28015,28010,976
322,28015,28012,1368
323,28015,28013,767
324,28015,28014,622
325,28015,28015,2270
326,28015,28016,87
327,28015,28017,26
328,28015,28020,789
329,28015,28027,31
330,28015,28028,315
331,28015,28036,210
332,28015,28039,451
333,28015,28045,521
334,28015,28046,556
335,28015,28053,23
336,28016,28001,135
337,28016,28002,130
338,28016,28003,187
339,28016,28004,156
340,28016,28005,53
341,28016,28006,185
342,28016,28007,110
343,28016,28008,47
344,28016,28009,229
345,28016,28010,64
346,28016,28012,121
347,28016,28013,21
348,28016,28014,101
349,28016,28015,110
350,28016,28016,160
351,28016,28017,2
352,28016,28020,329
353,28016,28027,11
354,28016,28028,95
355,28016,28036,104
356,28016,28039,109
357,28016,28045,77
358,28016,28046,150
359,28016,28053,5
360,28017,28001,80
361,28017,28002,56
362,28017,28003,44
363,28017,28004,50
364,28017,28005,54
365,28017,28006,54
366,28017,28007,76
367,28017,28008,19
368,28017,28009,84
369,28017,28010,21
370,28017,28012,41
371,28017,28013,5
372,28017,28014,42
373,28017,28015,13
374,28017,28016,9
375,28017,28017,57
376,28017,28020,17
377,28017,28027,2
378,28017,28028,81
379,28017,28036,14
380,28017,28039,4
381,28017,28045,51
382,28017,28046,13
383,28017,28053,12
384,28020,28001,339
385,28020,28002,524
386,28020,28003,1164
387,28020,28004,820
388,28020,28005,302
389,28020,28006,375
390,28020,28007,231
391,28020,28008,320
392,28020,28009,318
393,28020,28010,525
394,28020,28012,347
395,28020,28013,205
396,28020,28014,225
397,28020,28015,831
398,28020,28016,349
399,28020,28017,23
400,28020,28020,1212
401,28020,28027,18
402,28020,28028,228
403,28020,28036,278
404,28020,28039,394
405,28020,28045,221
406,28020,28046,532
407,28020,28053,11
408,28027,28001,64
409,28027,28002,66
410,28027,28003,46
411,28027,28004,51
412,28027,28005,31
413,28027,28006,125
414,28027,28007,79
415,28027,28008,20
416,28027,28009,128
417,28027,28010,43
418,28027,28012,49
419,28027,28013,17
420,28027,28014,80
421,28027,28015,42
422,28027,28016,15
423,28027,28017,7
424,28027,28020,22
425,28027,28027,39
426,28027,28028,138
427,28027,28036,37
428,28027,28039,2
429,28027,28045,70
430,28027,28046,25
431,28028,28001,589
432,28028,28002,266
433,28028,28003,239
434,28028,28004,636
435,28028,28005,211
436,28028,28006,566
437,28028,28007,621
438,28028,28008,147
439,28028,28009,880
440,28028,28010,221
441,28028,28012,459
442,28028,28013,77
443,28028,28014,471
444,28028,28015,329
445,28028,28016,118
446,28028,28017,63
447,28028,28020,249
448,28028,28027,133
449,28028,28028,1012
450,28028,28036,116
451,28028,28039,95
452,28028,28045,273
453,28028,28046,264
454,28028,28053,27
455,28036,28001,145
456,28036,28002,251
457,28036,28003,229
458,28036,28004,203
459,28036,28005,123
460,28036,28006,122
461,28036,28007,101
462,28036,28008,43
463,28036,28009,142
464,28036,28010,128
465,28036,28012,134
466,28036,28013,31
467,28036,28014,100
468,28036,28015,206
469,28036,28016,133
470,28036,28017,9
471,28036,28020,229
472,28036,28027,50
473,28036,28028,82
474,28036,28036,234
475,28036,28039,102
476,28036,28045,87
477,28036,28046,230
478,28036,28053,10
479,28039,28001,175
480,28039,28002,151
481,28039,28003,489
482,28039,28004,660
483,28039,28005,152
484,28039,28006,127
485,28039,28007,42
486,28039,28008,226
487,28039,28009,164
488,28039,28010,217
489,28039,28012,163
490,28039,28013,213
491,28039,28014,77
492,28039,28015,517
493,28039,28016,105
494,28039,28017,4
495,28039,28020,324
496,28039,28027,2
497,28039,28028,66
498,28039,28036,90
499,28039,28039,657
500,28039,28045,83
501,28039,28046,217
502,28039,28053,6
503,28045,28001,965
504,28045,28002,253
505,28045,28003,360
506,28045,28004,1388
507,28045,28005,3459
508,28045,28006,680
509,28045,28007,1567
510,28045,28008,561
511,28045,28009,1760
512,28045,28010,324
513,28045,28012,3382
514,28045,28013,688
515,28045,28014,1226
516,28045,28015,387
517,28045,28016,88
518,28045,28017,35
519,28045,28020,273
520,28045,28027,57
521,28045,28028,283
522,28045,28036,118
523,28045,28039,53
524,28045,28045,3136
525,28045,28046,575
526,28045,28053,149
527,28046,28001,411
528,28046,28002,456
529,28046,28003,817
530,28046,28004,745
531,28046,28005,589
532,28046,28006,478
533,28046,28007,557
534,28046,28008,129
535,28046,28009,675
536,28046,28010,394
537,28046,28012,518
538,28046,28013,100
539,28046,28014,389
540,28046,28015,665
541,28046,28016,253
542,28046,28017,30
543,28046,28020,608
544,28046,28027,20
545,28046,28028,302
546,28046,28036,328
547,28046,28039,258
548,28046,28045,468
549,28046,28046,856
550,28046,28053,35
551,28053,28001,189
552,28053,28002,34
553,28053,28003,21
554,28053,28004,97
555,28053,28005,146
556,28053,28006,117
557,28053,28007,214
558,28053,28008,11
559,28053,28009,259
560,28053,28010,22
561,28053,28012,180
562,28053,28013,33
563,28053,28014,109
564,28053,28015,19
565,28053,28016,9
566,28053,28017,4
567,28053,28020,5
568,28053,28027,4
569,28053,28028,49
570,28053,28036,15
571,28053,28039,2
572,28053,28045,177
573,28053,28046,81
574,28053,28053,117
