,unplug_stationName,plug_stationName,travels
0,Agustín de Betancourt,Agustín de Betancourt,211
1,Agustín de Betancourt,Alberto Alcocer,10
2,Agustín de Betancourt,Alcalá,2
3,Agustín de Betancourt,Alcalá-Ventas,3
4,Agustín de Betancourt,Almadén,6
5,Agustín de Betancourt,Alonso Martínez,3
6,Agustín de Betancourt,Antonio Maura,1
7,Agustín de Betancourt,Antón Martín,4
8,Agustín de Betancourt,Arcipreste de Hita A,3
9,Agustín de Betancourt,Arcipreste de Hita B,4
10,Agustín de Betancourt,Augusto Figueroa,2
11,Agustín de Betancourt,Avenida Donostiarra,5
12,Agustín de Betancourt,Avenida de América 1,11
13,Agustín de Betancourt,Avenida de América 2,2
14,Agustín de Betancourt,Avenida de los Toreros,1
15,Agustín de Betancourt,Ayala,5
16,Agustín de Betancourt,Banco de España A,4
17,Agustín de Betancourt,Barceló,4
18,Agustín de Betancourt,Batalla del Salado,4
19,Agustín de Betancourt,Beata,2
20,Agustín de Betancourt,Bravo Murillo 44,10
21,Agustín de Betancourt,Canal,2
22,Agustín de Betancourt,Carlos Cambronero,2
23,Agustín de Betancourt,Castellana,2
24,Agustín de Betancourt,Castellana 106,5
25,Agustín de Betancourt,Castellana 164,7
26,Agustín de Betancourt,Castellana 42,7
27,Agustín de Betancourt,Castellana frente a Hermanos Pinzón,4
28,Agustín de Betancourt,Cea Bermúdez,18
29,Agustín de Betancourt,Cibeles,1
30,Agustín de Betancourt,Colegio Arquitectos,3
31,Agustín de Betancourt,Colombia,15
32,Agustín de Betancourt,Columela,1
33,Agustín de Betancourt,Colón B,1
34,Agustín de Betancourt,Conde Duque,7
35,Agustín de Betancourt,Conde Peñalver,7
36,Agustín de Betancourt,Conde de Casal,1
37,Agustín de Betancourt,Conde de Romanones,3
38,Agustín de Betancourt,Cuatro Caminos 2,4
39,Agustín de Betancourt,Cuesta de Moyano,3
40,Agustín de Betancourt,Desengaño,1
41,Agustín de Betancourt,Diego de León 52,15
42,Agustín de Betancourt,Diego de león,4
43,Agustín de Betancourt,Doce de Octubre,2
44,Agustín de Betancourt,Doctor Arce 45,5
45,Agustín de Betancourt,Doctor Esquerdo-Hermosilla,1
46,Agustín de Betancourt,Embajadores 1,1
47,Agustín de Betancourt,Embajadores 2,1
48,Agustín de Betancourt,Entrada Matadero,2
