,name,address,longitude,latitude,id,cod_postal,barrio,distrito
0,Puerta del Sol A,Puerta del Sol nº 1,-3.70178074,40.41715281,1,28014,Sol,Centro
1,Puerta del Sol B,Puerta del Sol nº 1,-3.701642,40.417189,2,28014,Sol,Centro
2,Miguel Moya,Calle Miguel Moya nº 1,-3.7058415,40.4205886,3,28004,Sol,Centro
3,Plaza Conde Suchil,Plaza del Conde Suchil nº 2-4,-3.7069171,40.4302937,4,28015,Universidad,Chamberí
4,Malasaña,Calle Manuela Malasaña nº 5,-3.7025875,40.4285524,5,28004,Universidad,Centro
5,Fuencarral,Calle Fuencarral nº 108,-3.70205,40.42852,6,28004,Universidad,Centro
6,Colegio Arquitectos,Calle Hortaleza nº 63,-3.698447,40.424148,7,28004,Justicia,Centro
7,Hortaleza,Calle Hortaleza nº 75,-3.6977715,40.4251906,8,28004,Justicia,Centro
8,Alonso Martínez,Plaza de Alonso Martínez nº 5,-3.6954403,40.4278682,9,28004,Justicia,Chamberí
9,Plaza de San Miguel,Plaza de San Miguel nº 9,-3.7095084,40.4156057,10,28005,Palacio,Centro
10,Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16,-3.69214,40.42533,11,28004,Justicia,Centro
11,San Andrés,Calle San Andrés nº 18,-3.7035918,40.4269483,12,28004,Universidad,Centro
12,San Hermenegildo,Calle San Bernardo nº 85,-3.7061931,40.4284246,13,28015,Universidad,Centro
13,Conde Duque,Calle Conde Duque nº 22,-3.7104417,40.4273264,14,28015,Universidad,Centro
14,Ventura Rodríguez,Calle Ventura Rodríguez nº 2,-3.713479,40.4260957,15,28008,Argüelles,Moncloa-Aravaca
15,San Vicente Ferrer,Calle San Vicente Ferrer nº 64,-3.7074453,40.4262383,16,28015,Universidad,Centro
16,San Bernardo,Calle San Bernardo nº 22,-3.7075065,40.4230721,17,28015,Palacio,Centro
17,Carlos Cambronero,Plaza de Carlos Cambronero nº 2,-3.7038312,40.4232649,18,28004,Universidad,Centro
18,Plaza de Pedro Zerolo,Plaza de Pedro Zerolo,-3.6996502,40.4207773,19,28004,Sol,Centro
19,Prim,Calle Prim nº 2,-3.6954983,40.4218616,20,28004,Justicia,Centro
20,Banco de España A,Calle Alcalá nº 49,-3.6954615,40.4192342,21,28014,Cortes,Centro
21,Jacometrezo,Calle Jacometrezo nº 3,-3.7065376,40.4200783,25,28013,Sol,Centro
22,Santo Domingo,Plaza de Santo Domingo nº 1,-3.7080733,40.4197429,26,28013,Palacio,Centro
23,Palacio de Oriente,Calle Carlos III nº 1,-3.710692,40.417908,27,28013,Palacio,Centro
24,Plaza de Celenque A,Plaza de Celenque nº 1,-3.7064809,40.4173114,28,28013,Sol,Centro
25,Plaza de Celenque B,Plaza de Celenque nº 1,-3.7063837,40.4172781,29,28013,Sol,Centro
