year,month,month_number,line,users
2015,january,1,1,710658
2015,january,1,2,296959
2015,january,1,3,473029
2015,january,1,4,326703
2015,january,1,5,517458
2015,january,1,6,794432
2015,january,1,7,332198
2015,january,1,8,143125
2015,january,1,9,324352
2015,january,1,10,512091
2015,january,1,11,32658
2015,january,1,12,265490
2015,january,1,R,30457
2015,february,2,1,700449
2015,february,2,2,286263
2015,february,2,3,460825
2015,february,2,4,323266
2015,february,2,5,502106
2015,february,2,6,814674
2015,february,2,7,341931
2015,february,2,8,142195
2015,february,2,9,324422
2015,february,2,10,516464
2015,february,2,11,32439
2015,february,2,12,261726
2015,february,2,R,29044
2015,march,3,1,748620
2015,march,3,2,308886
2015,march,3,3,492189
2015,march,3,4,338032
2015,march,3,5,541433
2015,march,3,6,859855
2015,march,3,7,358584
2015,march,3,8,154139
2015,march,3,9,342948
2015,march,3,10,549273
2015,march,3,11,34798
2015,march,3,12,275170
2015,march,3,R,31302
2015,april,4,1,725708
2015,april,4,2,303868
2015,april,4,3,476077
2015,april,4,4,323060
2015,april,4,5,523254
2015,april,4,6,835460
2015,april,4,7,343639
2015,april,4,8,149374
2015,april,4,9,332186
2015,april,4,10,538933
2015,april,4,11,33564
2015,april,4,12,264565
2015,april,4,R,30725
2015,may,5,1,742982
2015,may,5,2,317547
2015,may,5,3,488308
2015,may,5,4,323794
2015,may,5,5,555274
2015,may,5,6,836358
2015,may,5,7,348035
2015,may,5,8,149252
2015,may,5,9,333514
2015,may,5,10,543467
2015,may,5,11,34225
2015,may,5,12,267179
2015,may,5,R,31498
2015,june,6,1,712178
2015,june,6,2,298050
2015,june,6,3,457477
2015,june,6,4,315384
2015,june,6,5,519007
2015,june,6,6,794852
2015,june,6,7,336184
2015,june,6,8,145506
2015,june,6,9,322762
2015,june,6,10,529233
2015,june,6,11,33363
2015,june,6,12,239859
2015,june,6,R,29792
2015,july,7,1,648831
2015,july,7,2,264778
2015,july,7,3,415494
2015,july,7,4,280911
2015,july,7,5,476992
2015,july,7,6,662268
2015,july,7,7,292219
2015,july,7,8,130228
2015,july,7,9,274754
2015,july,7,10,476993
2015,july,7,11,29441
2015,july,7,12,188684
2015,july,7,R,26754
2015,august,8,1,467984
2015,august,8,2,184013
2015,august,8,3,306057
2015,august,8,4,176991
2015,august,8,5,336691
2015,august,8,6,443594
2015,august,8,7,186221
2015,august,8,8,98258
2015,august,8,9,175864
2015,august,8,10,282466
2015,august,8,11,21074
2015,august,8,12,132002
2015,august,8,R,23852
2015,september,9,1,702213
2015,september,9,2,286773
2015,september,9,3,461162
2015,september,9,4,306208
2015,september,9,5,507457
2015,september,9,6,771328
2015,september,9,7,327979
2015,september,9,8,147119
2015,september,9,9,317942
2015,september,9,10,518739
2015,september,9,11,31715
2015,september,9,12,252105
2015,september,9,R,28133
2015,october,10,1,816105
2015,october,10,2,333622
2015,october,10,3,539836
2015,october,10,4,355535
2015,october,10,5,583835
2015,october,10,6,931867
2015,october,10,7,384602
2015,october,10,8,171187
2015,october,10,9,369394
2015,october,10,10,596590
2015,october,10,11,36651
2015,october,10,12,307688
2015,october,10,R,33822
2015,november,11,1,781860
2015,november,11,2,316380
2015,november,11,3,517937
2015,november,11,4,342282
2015,november,11,5,564477
2015,november,11,6,894636
2015,november,11,7,367674
2015,november,11,8,158755
2015,november,11,9,351665
2015,november,11,10,571846
2015,november,11,11,35297
2015,november,11,12,305287
2015,november,11,R,32506
2015,december,12,1,785674
2015,december,12,2,330085
2015,december,12,3,519540
2015,december,12,4,337196
2015,december,12,5,565966
2015,december,12,6,828129
2015,december,12,7,334139
2015,december,12,8,147239
2015,december,12,9,333943
2015,december,12,10,547340
2015,december,12,11,34590
2015,december,12,12,282257
2015,december,12,R,34557
2016,january,1,1,734477
2016,january,1,2,298327
2016,january,1,3,481523
2016,january,1,4,325110
2016,january,1,5,531163
2016,january,1,6,787908
2016,january,1,7,322078
2016,january,1,8,143984
2016,january,1,9,322367
2016,january,1,10,516759
2016,january,1,11,33548
2016,january,1,12,278920
2016,january,1,R,30573
2016,february,2,1,769260
2016,february,2,2,307728
2016,february,2,3,501814
2016,february,2,4,342993
2016,february,2,5,547182
2016,february,2,6,874864
2016,february,2,7,351854
2016,february,2,8,155728
2016,february,2,9,347935
2016,february,2,10,561869
2016,february,2,11,35210
2016,february,2,12,296884
2016,february,2,R,31030
2016,march,3,1,757068
2016,march,3,2,305480
2016,march,3,3,491928
2016,march,3,4,324688
2016,march,3,5,541405
2016,march,3,6,841803
2016,march,3,7,337290
2016,march,3,8,152708
2016,march,3,9,331754
2016,march,3,10,548018
2016,march,3,11,34747
2016,march,3,12,279564
2016,march,3,R,31171
2016,april,4,1,796550
2016,april,4,2,324051
2016,april,4,3,521197
2016,april,4,4,350996
2016,april,4,5,571179
2016,april,4,6,897704
2016,april,4,7,362752
2016,april,4,8,160289
2016,april,4,9,356383
2016,april,4,10,586303
2016,april,4,11,36522
2016,april,4,12,301733
2016,april,4,R,32618
2016,may,5,1,777962
2016,may,5,2,330687
2016,may,5,3,510973
2016,may,5,4,335502
2016,may,5,5,576433
2016,may,5,6,864899
2016,may,5,7,349729
2016,may,5,8,154430
2016,may,5,9,340378
2016,may,5,10,571237
2016,may,5,11,36511
2016,may,5,12,285642
2016,may,5,R,32181
2016,june,6,1,732180
2016,june,6,2,310217
2016,june,6,3,486663
2016,june,6,4,325929
2016,june,6,5,539398
2016,june,6,6,828195
2016,june,6,7,335645
2016,june,6,8,150969
2016,june,6,9,331838
2016,june,6,10,558854
2016,june,6,11,35115
2016,june,6,12,270624
2016,june,6,R,30997
2016,july,7,1,128507
2016,july,7,2,312584
