index,id,CODIGOEMPRESA,cod_Est,Ent_2014,Util_2014,Ent_2015,Util_2015,Ent_2016,Util_2016,Ent_2017,Util_2017,Ent_2018,Util_2018,Ent_2019,Util_2019,DISTRITO,BARRIO,X,Y,long,lat
001,164,2205,2205,1118462.0,2401699.0226149755,1101045.0,2309275.0,1164865.0,2407692.6842031116,1305222.0,2632440.5798856355,1438326.0,2498343.7581180427,1465637,2770466.363632041,22,234.0,876108,8940431,-7.459531795787397,80.76045081979932
002,162,520,520,1663805.0,3341065.8583769333,1777872.0,3479807.0,1775127.0,3426429.5915116137,1550485.0,3039780.878797722,1649543.0,3771397.395364435,1620491,3460697.424217002,2,22.0,439744,4472894,-3.7101115548421872,40.40447863030922
003,42,118,118,4028973.0,18660186.74501072,4125916.0,19053055.0,4962116.0,16022017.009655673,4604390.0,20749011.0315,4920430.0,21551141.85755895,5216882,25169768.60020215,3,31.0,442819,4472721,-3.6738598544936334,40.40313701933029
004,10,305,305,3002712.0,5733063.951353283,3091940.0,5879855.0,3481965.0,6314404.416275616,3606384.0,6607537.699906375,3662615.0,6843070.815090529,3722835,7284929.656198682,1,12.0,440638,4473543,-3.6996371342597563,40.41038936375535
005,262,3522,3522,7841470.0,15047873.283491299,7879174.0,15655155.0,8037468.0,15990916.131515438,6762017.0,12556402.409198128,9104212.0,15429057.659082118,9827685,19153665.378613047,105,1061.0,2249568,22399902,-17.954143727670857,202.34495192235278
006,128,1207,1207,1219060.0,2375014.0,1060921.0,2022480.0,1391012.0,2675729.0,1488128.0,2874593.0,1396574.0,2699234.0,1558827,3006212.0,4,0.0,426630,4464028,-3.8636237557757154,40.323559509227984
012,9,351,351,1633152.0,2977076.147476054,1683888.0,3020077.0,1842268.0,3210538.995877301,2096286.0,3427243.205,2242397.0,3795519.704605334,2395257,4520155.591638947,12,124.0,440873,4470831,-3.6966157747207546,40.385975000201455
014,661,2663,2663,4285718.0,11785298.661516454,4266546.0,12024423.0,4410046.0,11682629.267249309,5116976.0,13789845.297244485,5994040.0,20631833.698158823,6047671,22123952.34160657,100,1022.0,2242777,22378295,-18.032497400335508,202.14989241790826
018,61,253,253,1390938.0,2764754.6161630303,1459490.0,2701824.0,1543486.0,2917830.799027587,1666063.0,3183705.199369057,1740837.0,3227946.666303,1693078,3315383.7028878545,20,204.0,447213,4474579,-3.6222351325857,40.42016521986832
025,179,807,807,1756215.0,3457944.8260492194,1783242.0,3489010.0,1811131.0,3571433.2685806886,1434205.0,2902986.397353081,1983552.0,3412352.8138180464,2082972,3972729.8387729838,21,214.0,450732,4480936,-3.581249636707496,40.477648923834586
028,201,708,708,1306972.0,2543647.0812811987,1293361.0,2525492.0,1279278.0,2531559.1084085307,1329418.0,2674362.403761328,1402446.0,2735732.5517971413,1405660,2775869.712663287,4,44.0,443883,4476952,-3.6616951256782473,40.441324551492826
029,222,416,416,1313805.0,2721055.53414154,1283914.0,2662570.0,1309955.0,2701893.2235902143,1417666.0,2185898.175186112,1443798.0,2795888.555260931,1500771,2888475.23456425,16,163.0,445354,4479161,-3.644541210717752,40.461322362547776
032,167,1105,1105,685257.0,1026326.4742544262,680844.0,1013248.0,726323.0,1067107.539,862140.0,3412867.549088439,969033.0,1675694.7851088825,1026997,1961905.4112521696,11,116.0,436276,4469526,-3.7506414443059315,40.37388006209702
034,101,103,103,2955705.0,5845623.813366942,3017601.0,5935352.0,2479489.0,4824500.630263977,3360898.0,6276573.8676,3511657.0,6895294.83989103,3604824,7148216.633697006,6,63.0,440909,4479318,-3.696980381267257,40.462432467289865
037,125,1016,1016,4476865.0,8514871.64882805,4560027.0,8665468.0,4707306.0,8879940.013368186,5031032.0,2814246.5598,5477010.0,10275128.450123047,5901018,11596466.544173675,10,105.0,434373,4472315,-3.773343372527412,40.39885676120329
040,418,1214,1214,4941810.0,9695724.034642339,4919348.0,9665937.0,5124431.0,10221189.21867376,5021683.0,5655674.857140076,5812639.0,10524421.59490456,6098646,11768607.190054756,30,309.0,889147,8953016,-7.307029648455007,80.87474209012262
041,226,502,502,1470817.0,2856503.3322000005,1410565.0,2716294.0,1418424.0,2845947.1038,1281069.0,2501333.487181393,1526997.0,2843968.437107535,1631056,3139205.8066894906,20,208.0,447785,4477401,-3.615724803866437,40.445623594853025
042,170,1106,1106,741084.0,1338546.2490223986,733128.0,1320776.0,761428.0,1363381.7235924932,864991.0,1520147.5383,927034.0,1723012.9428791672,912199,1764948.8142346982,11,116.0,435845,4468666,-3.7556314874756236,40.366099740033505
043,6,626,626,2628931.0,5723611.124652413,3186667.0,6275691.0,2819715.0,5992346.117915214,3031921.0,6321561.837,3122570.0,5684724.457881687,3259560,6301189.2934861,10,102.0,438409,4474159,-3.725965672024424,40.415776617190964
045,433,3809,3809,20507852.0,56094053.15037923,19822127.0,52587804.0,20952752.0,55643690.138022125,22240738.0,48989268.552235946,22867991.0,62890965.37625401,23878036,67580649.82056205,46,466.0,2185855,22369627,-18.70266163634046,202.0678942729262
046,416,1423,1423,7349447.0,14086507.06457252,7483999.0,14974731.0,7794058.0,15551514.402879395,8392396.0,25224849.76311197,8545154.0,17144128.828188006,8693007,18597629.537858307,18,191.0,1767428,17901032,-14.741711374815786,161.7036998027593
052,199,760,760,148312.0,319532.0,167853.0,364502.0,12335.0,26398.0,186747.0,405334.0,164482.0,351971.0,208024,446101.0,2,21.0,454761,4474454,-3.5332569539602297,40.419483718623226
053,189,1621,1621,2831468.0,6382166.997048445,2813167.0,6280820.0,2801846.0,6252600.091322792,2918936.0,6842345.032763915,3005723.0,6033471.858107448,2992438,5935307.636006098,16,168.0,879363,8963501,-7.423377748197106,80.96851398101612
060,267,1126,1126,8626187.0,21918009.94862037,8733275.0,22050185.0,8999928.0,22838659.911550354,9109989.0,23966714.2557147,10056656.0,24540536.228806447,10505132,26990886.096871756,22,229.0,878486,8943216,-7.431785054207036,80.78571462515387
061,512,961,961,34722792.0,93700099.46648875,35191062.0,94897751.0,34598511.0,89033072.64790352,38674730.0,102932092.01103118,40484218.0,114717898.5188847,40567555,121823248.17374952,6,78.0,2643404,26846366,-22.203296715461676,242.50832069613693
063,49,1215,1215,1006274.0,1897462.0,1012425.0,1953972.0,1112086.0,2151581.0,1174419.0,2276573.0,1198712.0,2324222.0,1218976,2371947.0,2,0.0,433215,4460099,-3.785710032865637,40.288717887730186
066,184,1061,1061,805602.0,1597590.0,832361.0,1652629.0,922350.0,1839324.0,1021803.0,2017776.0,1077172.0,2126286.0,1098173,2174880.0,1,0.0,448344,4490276,-3.610183510599208,40.561643020446354
067,129,1208,1208,1200471.0,2121894.0,1015154.0,1946426.0,1262694.0,2434288.0,1341593.0,2583495.0,1296373.0,2504554.0,1389033,2690171.0,4,0.0,425790,4463464,-3.873444663423401,40.31840461987977
